sentence	author	title	allusion	variation_number	allusion_index	transformed_allusion
泉门一闭后，开日定知无。	王梵志	回波乐 其十七		0		
步虚闻一曲，浑欲到三清。	方干	夜听步虚		0		
君还到湘水，寒夜满猿啼。	皎然	于武原从送卢士举		0		
呜呼为臣，儆尔夙夜。	吕温	张荆州画赞		0		
白圭之玷尚可磨，斯言之理不可为。	王梵志	回波乐 其五十一		0		
虽狎金墉上，犹畏虎贲弓。	王拊	咏霜朝城上乌		0		
若要分明见，须凭浩劫灯。	司马承祯	太上升玄消灾护命妙经颂		0		
行人皆辟易，志气横嵩丘。	李白	古风 其十八		0		
用时无处复无踪，行住相随常了了。	天然	弄珠吟		0		
精养灵根气养神，此真之外更无真。	吕岩	绝句 其二十二		0		
静对铜炉香，暖漱银瓶水。	白居易	晚起闲行		0		
迥独一身活，病困遣谁看。	王梵志	回波乐 其七十五		0		
努力图西去，休将冻馁辞。	吴融	雪中寄虑延让秀才		0		
狐神鼠圣兮薄社依墙，雷霆一发兮其孰敢当。	洞庭龙君	宴柳毅诗 其一		0		
宿昔勤梦想，契之在深衷。	李栖筠	张公洞		0		
梁间燕教雏，石罅蛇悬壳。	宋齐丘	陪游凤皇台献诗		0		
亭亭山上松，一一生朝阳。	白居易	其七 和松树		0		
汉儿尽作胡儿语，却向城头骂汉人。	司空图	河湟有感		0		
我昔孩提从我兄，我今衰白尔初成。	元稹	寒食日毛空路示侄晦及从简		0		
学道能苦心，自古无不成。	于鹄	宿西山修下元斋咏		0		
耦耕长林下，甘与鸟雀群。	吴筠	其十四 长沮桀溺		0		
中人爱富贵，高士慕神仙。	白居易	归田三首 其一		0		
我生礼义乡，少小孤且贫。	白居易	朱陈村		0		
阴阳宗祖，道契君臣。	岑真人	还丹口诀		0		
轩窗幽水石，怪异尤难状。	元结	宴湖上亭作		0		
开瓶泻尊中，玉液黄金脂。	白居易	效陶潜体诗十六首 其四		0		
无边落木萧萧下，不尽长江衮衮来。	杜甫	登高		0		
苟活到今日，寸心铭佩牢。	杜甫	送重表侄王砅评事使南海		0		
阳原淑气早，阴谷冱寒多。	王丘	奉和圣制荅张说扈从南出鼠雀谷之作		0		
冤辞何者甚，力役遇劳困。	元结	忝官引		0		
冲寒出洞口，犹校夕阳多。	司空图	岁尽二首 其一		0		
千里云山何处好，几人襟韵一生休。	杜牧	自宣城赴官上京		0		
草入吟房坏，潮冲钓石移。	李洞	下第送张霞归觐江南		0		
若还缺一不芳菲，执著波查应失路。	吕岩	敲爻歌		0		
争将世上无期别，换得年年一度来。	李商隐	七夕		0		
何处未春先有思，柳条无力魏王堤。	白居易	魏王堤		0		
莫笑旅人终日醉，吾将大醉与禅通。	方干	赠式上人		0		
笑看儿童骑竹马，醉携宾客上仙舟。	白居易	赠楚州郭使君		0		
微功一可立，身轻不自怜。	王贞白	拟塞外征行		0		
水与天同色，山共白云连。	李斌	日南王		0		
日入酉，但愿父母得长寿。	白居易	十二时行孝文 其八		0		
为郡异乡徒泥酒，杜陵芳草岂无家。	杜牧	登九峰楼		0		
五校连旗色，千门叠鼓声。	王维	恭懿太子挽歌五首 其五		0		
兵戈闹日别乡国，鸿雁过时思弟兄。	杜荀鹤	馆舍秋夕		0		
海门一点巽山小，五百年间出帝王。	佚名	天目山谶		0		
我到东川恰相半，向南看月北看云。	元稹	其二 骆口驿二首		0		
弓背霞明剑照霜，秋风走马出咸阳。	令狐楚	其三 少年行四首		0		
芳树笼秦栈，春流绕蜀城。	李白	送友人入蜀		0		
兽返深山鸟搆巢，鹰雕鹞鹘无羁鞅。	元稹	其六 驯犀		0		
竟岁何曾闷，终身不拟忙。	白居易	郡斋暇日忆庐山草堂兼寄二林僧社三十韵多叙贬官已来出处之意		0		
荷锄分地利，纵酒乐天真。	曲信陵	移居洞庭		0		
生代日何短，徂迁岁欲期。	宋务光	七夕感逝		0		
早思归故里，华发等闲生。	李中	送人南游		0		
酒盏省陪波卷白，骰盘思共彩呼卢。	白居易	酬微之誇镜湖		0		
待乌燕太子，驻马魏东阿。	李商隐	镜槛		0		
今朝城上难回首，不见楼船索战时。	李山甫	上元怀古二首 其二		0		
先君怀圣德，灵庙肃神心。	李白	谒老君庙		0		
现身千佛国，护世四王军。	元稹	大云寺二十韵		0		
湾深曲岛间，淼淼水云云。	拾得	诗 其二十二		0		
万里八九月，一身西北风。	栖蟾	游边		0		
瑞花飘朔雪，灏气满南宫。	羊士谔	和窦吏部雪中寓直		0		
日翅闲张锦，风池去罥罗。	杜牧	鵁鶄		0		
租调无处出，还须里政倍。	缺名二	五言诗 其五		0		
黄粱炊未熟，梦惊残。	吕岩	促拍满路花		0		
尽规詶主意，偕赋代交欢。	吕温	奉和李相公早朝于中书候传点偶书所怀奉呈门下武相公中书郑相公		0		
文苑重式，词场以箴。	于邵	词场箴		0		
曾随上将过祁连，离家十年恒在边。	岑参	送费子归武昌		0		
将法传来穿泱漭，把诗吟去入嵌岩。	李洞	赠可上人		0		
自伤衰飒慵开镜，拟与儿童别写真。	司空图	新岁对写真		0		
百马死山谷，到今耆旧悲。	杜甫	病橘		0		
苏李冥蒙随烛灭，陈樊漂泊逐萍流。	白居易	会昌二年春题池西小楼		0		
故园东望路漫漫，双袖龙钟泪不乾。	岑参	逢入京使		0		
云藏山色晴还媚，风约溪声静又回。	李咸用	题陈将军别墅		0		
牧童歌冢上，狐兔穴坟傍。	敦煌人作品	其十 李庙咏		0		
高情还似看花去，闲对南山步夕阳。	羊士谔	王起居独游青龙寺玩红叶因寄		0		
鸟惊司仆驭，花落侍臣衣。	宋之问	奉和梁王宴龙泓应教得微字		0		
举世成薄俗，往往奔虚名。	吕从庆	怀严子陵前辈		0		
灼灼外明，温温内润。	李百药	隋故益州总管府司马裴君碑铭		0		
晴明中雪岭，烟霭下渔舟。	于兴宗	夏杪登越王楼临涪江望雪山寄朝中知友		0		
因悲中林士，未脱众鱼腹。	杜甫	三川观水涨二十韵		0		
画角引风吹断梦，垂杨和雨结成愁。	杜荀鹤	旅寓		0		
望乡相并立，向月一时吹。	白居易	赋得边城角		0		
云供片段月供光，贫女寒机枉自忙。	吴融	鲛绡		0		
得宝耶，弘农耶。	不详	得宝歌		0		
穿城初北注，过苑却东流。	吴融	御沟十六韵		0		
林开明见月，万壑静闻钟。	皎然	陪卢中丞闲游山寺		0		
霞张万户，雾葺千栾。	王勃	乾元殿颂		0		
我来登眺处，能有几閒人。	李翱	金山寺		0		
英雄馀事业，衰迈久风尘。	杜甫	上白帝城二首 其一		0		
丈室可容身，斗储可充腹。	白居易	秋居书怀		0		
梅郊落晚英，柳甸惊初叶。	王勃	春日宴乐游园赋韵得接字		0		
远烟盐井上，斜景雪峰西。	杜甫	出郭		0		
别地萧条极，如何更独来。	李商隐	寄裴衡		0		
倾在荷叶中，有时看是露。	王建	水精		0		
坐棠思邵伯，看柳忆嵇康。	王绩	春日还庄		0		
当须徇忠义，身死报国恩。	李希仲	蓟北行二首 其二		0		
毕竟图斟酌，先须遣疠痎。	元稹	痁卧闻幕中诸公徵乐会饮因有戏呈三十韵		0		
亦与樵翁约，同游酒市春。	李中	渔父		0		
交贤方汲汲，友直每偲偲。	白居易	代书诗一百韵寄微之		0		
极浦沈碑会，秋花落帽筵。	杜牧	往年随故府吴兴公夜泊芜湖口今赴官西去再宿芜湖感旧伤怀因成十六韵		0		
劝君莫强安蛇足，一盏芳醪不得尝。	李商隐	有感		0		
从役伊何，薄求卑位。	王勃	倬彼我系 其九		0		
一举无两全，荆轲遂为血。	王昌龄	杂兴		0		
有田不得耕，身卧辽阳城。	司马扎	古边卒思归		0		
哀哉存殁苦难量，共恨沦流处异乡。	佚名	哭押牙四寂		0		
有如蛰虫鸟，亦应天地春。	白居易	郡中春宴因赠诸客		0		
朔风吹汗漫，飘砾洒轒辒。	沈佺期	塞北二首 其一		0		
耳闻争战还倾覆，眼见妍华成枯槁。	吕岩	赠刘方处士		0		
物议将调鼎，君恩忽赐弓。	李商隐	今月二日不自量度辄以诗一首四十韵干渎尊严伏蒙仁恩俯赐披览奖踰其实情溢于辞顾惟疏芜曷用酬戴辄复五言四十韵诗献上亦诗人咏叹不足之义也		0		
摆落尘埃深处隐，欲将麋鹿混高踪。	王贞白	赠刘台处士		0		
遍问炎方客，无人得白头。	于鹄	送迁客二首 其二		0		
道与日月长，人无茅舍期。	元季川	古远行		0		
天仗森森练雪凝，身骑铁骢自臂鹰。	王昌龄	句		0		
夜尽醉弦歌，日高卧烟树。	司马扎	美刘太保		0		
雨散三秋别，风传一字书。	包佶	尚书宗兄使过诗以奉献		0		
来时西馆阻佳期，去后漳河隔梦思。	李商隐	代魏宫私赠		0		
恰值嫦娥排宴会，瑶浆新熟味氤氲。	吕岩	其一百 其一百十		0		
终朝奉絺绤，谒帝伫非赊。	李峤	瓜		0		
乐往必悲生，泰来由否极。	白居易	遣怀		0		
最后供养，受菩提记。	白居易	其六 发愿偈		0		
化俗功成后，烟霄会有期。	李中	赠朐山杨宰		0		
浮悟虽已久，事试去来成。	宋之问	游法华寺		0		
携手漫思为好伴，此身方恨未归田。	何蒙	题义门胡氏华林书院		0		
马群先去害，民籍更添丁。	杜牧	分司东都寓居履道叨承川尹刘侍郎大夫恩知上四十韵		0		
曾随云水此山游，行尽层峰更上楼。	杜光庭	题福唐观二首 其二		0		
长短方圆只自知，从来丝发不曾移。	大义	坐禅铭		0		
业峻灵祇保，功成道路嗟。	王翰	奉和圣制送张尚书巡边		0		
平明趁伴争球子，直到黄昏不忆家。	敦煌曲子	百岁篇 其一 丈夫十首		0		
功业若梦里，抚琴发长嗟。	李白	早秋赠裴十七仲堪		0		
但看古来盛名下，终日坎壈缠其身。	杜甫	丹青引赠曹将军霸		0		
儒臣篆美，刊石垂鸿。	李德裕	幽州纪圣功碑铭		0		
山屐田衣六七贤，搴芳蹋翠弄潺湲。	白居易	从龙潭寺至少林寺题赠同游者		0		
退食自公，尔和予唱。	李阳冰	庶子泉铭		0		
具含染净双歧路，觉明含处异途萌。	惟劲	觉地颂 其一		0		
盛暑翛翛丛色寒，闲宵槭槭叶声乾。	岑参	范公丛竹歌		0		
学调气后衰中健，不用心来闹处闲。	白居易	咏怀寄皇甫朗之		0		
薄狩三农隙，大阅五戎场。	李峤	奉和杜员外扈从教阅		0		
电影江前落，雷声峡外长。	王无竞	巫山		0		
社后辞巢燕，霜前别蒂蓬。	吕群	题寺壁二首 其二		0		
横戈从百战，直为衔恩甚。	李白	塞下曲六首 其五		0		
又更几年还共到，满墙尘土两篇诗。	元稹	酬乐天武关南见微之题山石榴花诗		0		
楼船水觇，车阵山窥。	王勃	九成宫颂		0		
清景南楼夜，风流在武昌。	李白	陪宋中丞武昌夜饮怀古		0		
妓筵今夜别姑苏，客棹明朝向镜湖。	白居易	代诸妓赠送周判官		0		
纵情昏主多，克己明君鲜。	李世民	赋尚书		0		
替人既倒来，条录相分付。	缺名一	五言白话诗 其六		0		
垂楼万幕青云合，破浪千帆阵马来。	杜牧	怀钟陵旧游四首 其二		0		
丑皮不忧敌，面面却憎花。	王梵志	诗并序 其八十五		0		
月下飞天镜，云生结海楼。	李白	渡荆门送别		0		
毕竟百年同是梦，长年何异少何为。	元稹	酬乐天秋兴见赠本句云莫怪独吟秋兴苦比君校近二毛年		0		
取蛇于穴，偫秽殄灭。	吕温	其九 李英公绩		0		
不如山上草，离离保终吉。	王绩	古意六首 其二		0		
夫君每尚风流事，应为徐妃致此栽。	司马都	和陆鲁望白菊		0		
年年十月暮，珠稻欲垂新。	元稹	赛神		0		
高兴每论诗，非才独见推。	李频	投京兆府试官任文学先辈		0		
王母妆成镜未收，倚栏人在水精楼。	成彦雄	中秋月		0		
沈沈清庙，肃肃灵坛。	李世民	晋祠铭		0		
汉之广兮，风波四起。	李善夷	责汉水辞		0		
登山一临哭，挥泪满蒿莱。	王湾	哭补阙亡友綦毋学士		0		
客愁连蟋蟀，亭古带蒹葭。	杜甫	官亭夕坐戏简颜十少府		0		
一复时程虽不远，百馀步地更相亲。	白居易	和刘汝州酬侍中见寄长句因书集贤坊胜事戏而问之		0		
不贵绡为雾，难降绮作霞。	吴融	追咏棠梨花十韵		0		
月从东方来，酒从东方转。	李贺	河阳歌		0		
每日将何疗饥渴，井华云粉一刀圭。	白居易	题李山人		0		
玉帛仪大，金丝奏广。	不详	其二 送神		0		
旌旗坐镇蜀江雄，帝命重开旧閤崇。	王建	上武元衡相公		0		
皇朝宰相张天觉，天下云游吕洞宾。	吕岩	宋朝张天觉为相之日有褴缕道人及门求施公不知礼敬因戏问道人有何仙术荅以能捏土为香公请试为之须臾烟罢道人不见但留诗于案上云		0		
山深春晚无人赏，即是杜鹃催落时。	李群玉	叹灵鹫寺山榴		0		
如见海底日，曈曈始欲生。	元结	夜宴石鱼湖作		0		
邾子投火，王思怒蝇。	李瀚	蒙求		0		
今旦一尊酒，欢畅何怡怡。	白居易	对酒示行简		0		
九结冰泮，四禅自缅。	朱子奢	昭仁寺碑铭		0		
牵牛石上过，不见有蹄痕。	无名氏	五言诗 其八		0		
闭户人高卧，归林鸟却回。	杜甫	热三首 其二		0		
萧飒古仙人，了知是赤松。	李白	古风 其二十		0		
年少力生犹不敌，况加憔悴闷腾腾。	王建	谢田赞善见寄		0		
水宿南湖夜，山离旧国年。	李频	送友人游太原		0		
回舆入咸京，席卷六合通。	李白	流夜郎半道承恩放还兼欣剋复之美书怀示息秀才		0		
与君贫贱交，何异萍上水。	李益	杂曲		0		
以此将为赠，惟君尽得知。	皮日休	其二 华顶杖		0		
火轮迸焰烧长空，浮埃扑面愁朦朦。	王毂	暑日题道边树		0		
舟人笑指千馀客，谁是烟霄六翮毛。	汪遵	晋河		0		
惊波动连山，拔剑曳雷电。	李白	观佽飞斩蛟龙图赞		0		
方朔初闻汉，荆轲昔向秦。	李峤	史		0		
借问不流水，何如无念心。	白居易	对小潭寄远上人		0		
明年官满后，拟买雪堆庄。	白居易	斋居		0		
自怜迁逐者，犹滞蛰藏馀。	司空曙	闻春雷		0		
良冶动时为哲匠，巨川济了作虚舟。	白居易	和杨尚书罢相后夏日游永安水亭兼招本曹杨侍郎同行		0		
龙惊不敢水中卧，猿啸时闻岩下音。	李白	夜泊黄山闻殷十四吴吟		0		
一从太尉房公赏，遂使秦人传至今。	皎然	戛铜碗为龙吟歌		0		
客来花雨际，秋水落金池。	李白	同族侄评事黯游昌禅师山池二首 其二		0		
骢马未来朝，嘶声尚在耳。	李频	下第后屏居书怀寄张侍御		0		
肮脏辞故园，昂藏入君门。	李白	赠参寥子		0		
万顷白云独自有，一枝丹桂阿谁无。	吕岩	七言 其五十七		0		
常爱辋川寺，竹窗东北廊。	白居易	竹窗		0		
妍媸各有分，谁敢妒恩多。	白居易	吴宫辞		0		
水冻桥横冰满池，新排石笋绕笆篱。	王建	长安县后庭看画		0		
更有陆先生，荒林抱穷蹙。	皮日休	吴中苦雨因书一百韵寄鲁望		0		
晚妆留拜月，春睡更生香。	司空图	句		0		
未至三十已高位，腰间金印色赭然。	岑参	送张献心充副使归河西杂句		0		
常闻为突骑，天子赐长戈。	王贞白	少年行二首 其二		0		
我有壁经，既昧而明之。	无名氏	国学新修五经壁歌		0		
日夜东西流，分流几千里。	元稹	分流水		0		
与尔镪三百，小惠何足论。	白居易	赎鸡		0		
成后料君无别事，只应酣饮咏离骚。	皮日休	詶鲁望见迎绿罽次韵		0		
风驱雷电临河震，鹤引神仙出月游。	李洞	华山		0		
与君共俟酬身了，结侣波中寄钓船。	李中	秋江夜泊寄刘钧		0		
今日时无事，空江满白鸥。	吕温	岳阳怀古		0		
燕丹事不立，虚没秦帝宫。	李白	杂曲歌辞 结客少年场行		0		
前惊羽人会，白日天居肃。	李益	入华山访隐者经仙人石坛		0		
壮志未酬三尺剑，故乡空隔万重山。	李频	春日思归		0		
焰里寒冰结，杨华九月飞。	本寂	五相偈 其三		0		
馀芳认兰泽，遗咏思蘋洲。	白居易	想东游五十韵		0		
书此豁平昔，回首犹暮霞。	杜甫	柴门		0		
君为著作郎，职废志空存。	白居易	赠樊著作		0		
钵帽绝朝宗，簪裾翻拜伏。	灵一	远公		0		
楼台相掩映，城阙互相望。	上官仪	奉和秋日即目应制		0		
饱餐为日计，稳睡是身谋。	白居易	想东游五十韵		0		
声名已压众人上，愁思未平双鬓知。	王建	寄分司张郎中		0		
吟君昨日早朝诗，金御炉前唤仗时。	白居易	和集贤刘学士早朝作		0		
空阔远看波浪息，楚山安稳过云岑。	李绅	溯西江		0		
负郭有田在，年年长废耕。	于武陵	书情		0		
青青一树伤心色，曾入几人离恨中。	白居易	青门柳		0		
百草竞春华，丽春应最胜。	杜甫	其五 丽春		0		
我愿从之游，未去发已白。	李白	古风 其十七		0		
眼豁浮生梦，心澄大道源。	杜荀鹤	赠临上人		0		
紫绶欢情洽，黄花逸兴催。	李白	宣州九日闻崔四侍御与宇文太守游敬亭余时登响山不同此赏醉后寄崔侍御二首 其一		0		
见说平时灯影里，玄宗潜伴太真游。	元稹	灯影		0		
男儿留滞暂时间，不应便向戎庭老。	佚名	望敦煌		0		
经途看不暇，遇境说难穷。	吕温	道州途中即事		0		
县官与恩宅，曹司一家事。	缺名二	五言诗 其五		0		
有无动静事难明，无相之中有相形。	元安	浮沤歌		0		
平生犹不浅，羁旅转相怜。	岑参	汉川山行呈成少尹		0		
绿盖协晨霞，青軿掷空峒。	无名氏	道藏歌诗 其三十七		0		
何用慰相思，裁书寄关右。	李益	送诸暨王主簿之任		0		
万里江海通，九州天地宽。	岑参	送张秘书充刘相公通汴河判官便赴江外觐省		0		
系之迦陁，金石刻兮。	李肇	东林寺经藏碑铭		0		
有梦多为蝶，因蒐定作熊。	元稹	春六十韵		0		
道即穷通守，才应始末怜。	李频	长安书情投知己		0		
吾欲为人厌者，勿泛抔湖。	元结	抔湖铭		0		
有琴慵不弹，亦与无弦同。	白居易	咏慵		0		
剖符来蜀道，归盖取荆门。	杜甫	奉汉中王手札		0		
得路到深寺，幽虚曾识名。	方干	游竹林寺		0		
大道居廛市，访道莫西东。	白云仙人	其三十四 宝峰草		0		
水积既深，大波其䬌。	李翱	江州南湖堤铭		0		
既不劳洗沐，又不烦梳掠。	白居易	嗟发落		0		
至人顺通塞，委命固无疵。	吴筠	览古十四首 其十一		0		
昨日千金子，联绵成古丘。	皎然	杂寓兴		0		
江城雪尽寒犹在，客舍灯孤夜正深。	伍乔	九江旅夜寄山中故人		0		
汲泉洒小台，台上无纤埃。	白居易	小台晚坐忆梦得		0		
时将红袖拂明月，为惜普照之馀晖。	李白	代美人愁镜二首 其二		0		
躬侍元元，亲传秘诀。	李隆基	张天师赞二首 其一		0		
方随水向山，肯惜花辞岛。	李端	送吉中孚拜官归楚州		0		
雪衣雪发青玉觜，群捕鱼儿溪影中。	杜牧	鹭鸶		0		
柳叶飘乾翠，枫枝撼碎红。	李咸用	秋晚		0		
在火辨玉性，经霜识松贞。	白居易	和荅诗十首 其一 和思归乐		0		
幸喜乾坤泰，忻逢日月明。	有孚	立赠河西悟真法师		0		
野人住处无名利，草满空阶树满园。	元稹	靖安穷居		0		
彼美佞邪子，婉娈来相寻。	李白	古风 其五十五		0		
筋力交彫丧，飘零免战兢。	杜甫	寄刘峡州伯华使君四十韵		0		
天静秋山好，窗开晓翠通。	白居易	窗中列远岫		0		
舟子怯桂水，最言斯路难。	宋之问	下桂江县黎壁		0		
独有求珠客，年年入海行。	王建	南中		0		
邻邑谷不登，我土丰粢盛。	不详	舒州人歌		0		
衣裳垂素发，门巷落丹枫。	杜甫	秋峡		0		
多病老翁争奈向，寄诗遥问少年郎。	李昉	牡丹盛开对之感叹寄秘阁侍郎		0		
静习狂心尽，幽居道气添。	元稹	开元观闲居酬吴士矩侍御三十韵		0		
泠然紫霞赏，果得锦囊术。	李白	登峨眉山		0		
谁道洛中多逸客，不将书唤不曾来。	白居易	戏招诸客		0		
元礼模楷，季彦领袖。	李瀚	蒙求		0		
雨雪正霏霏，令人不忆归。	李建勋	宿友人山居寄司徒相公 其一		0		
天时人事，随我所向。	吕温	其九 李英公绩		0		
捻笙软玉开素苞，画楼闪闪红裙摇。	李咸用	轻薄怨		0		
政建中和，金声玉振。	李德裕	仁圣文武至神大孝皇帝真容赞		0		
文章已满行人耳，一度思卿一怆然。	李忱	吊白居易		0		
多见忙时已衰病，少闻健日肯休闲。	白居易	题谢公东山障子		0		
愧捧芝兰赠，还披肺腑呈。	元稹	答姨兄胡灵之见寄五十韵		0		
唯我中肠断，应无连得期。	白居易	和微之诗二十三首 和晨兴因报问龟儿		0		
素是自然色，圆因裁制功。	白居易	白羽扇		0		
独有辛苦者，屡为州县徭。	司马扎	锄草怨		0		
结庐近西术，种树久成阴。	包融	酬忠公林亭		0		
雄巢汉宫树，雌弄秦草芳。	李白	其二 白头吟二首		0		
餐和饮顺中肠宽，虚无之乐不可言。	李咸用	升天行		0		
逸兴怀九仙，良辰倾四美。	王勃	上巳浮江宴韵得阯字		0		
唯惭一片月，流彩照南端。	无名氏	小韵诗 其二		0		
高堞复于隍，广殿摧于榛。	吴筠	建业怀古		0		
刘旻才高能富国，萧何人杰足封侯。	牟融	送沈侯之京		0		
常恐死道路，永为高人嗤。	杜甫	赤谷		0		
秋开已寂莫，夕陨何纷纷。	白居易	秋槿		0		
可怜月好风凉夜，一部清商伴老身。	白居易	快活		0		
碧毡帐上正飘雪，红火炉前初炷灯。	白居易	夜招晦叔		0		
逆流漳浦上，天感泣云雷。	克符道者	二祖漳川凤		0		
别来衣马从胜旧，争向边尘满白头。	王建	酬赵侍御		0		
外累信已遣，中怀时有思。	白居易	移家入新宅		0		
礼陈瑶币，乐献金奏。	包佶	祀风师乐章 奠币登歌		0		
知君百里鸣琴处，公退千山尽日看。	李中	和浔阳宰感旧绝句五首 其四		0		
出郭喜见山，东行亦未远。	李颀	晚归东园		0		
顾荣锡炙，田文比饭。	李瀚	蒙求		0		
庐山东南五老峰，青天削出金芙蓉。	李白	登庐山五老峰		0		
废兴虽万变，宪章亦已沦。	李白	古风 其一		0		
天公此意何可量，长教尔辈时节长。	元稹	村花晚		0		
且复恋良友，握手步道周。	杜甫	送韦十六评事充同谷郡防禦判官		0		
赋出《三都》上，诗须二雅求。	无名氏	吊子美		0		
人事升沉才十载，宦游漂泊过千峰。	李德裕	忆金门旧游奉寄江西沈大夫		0		
何况江头鱼米贱，红脍黄橙香稻饭。	白居易	新乐府 盐商妇 恶幸人也		0		
病添心寂寞，愁人鬓蹉跎。	白居易	晚秋有怀郑中旧隐		0		
惟有前峰明月在，夜深犹过半江来。	任翻	三游巾子山寺感述		0		
堂虚雪气入，灯在漏声残。	朱庆馀	与贾岛顾非熊无可上人宿万年姚少府宅		0		
乘舆执玉已登坛，细草沾衣春殿寒。	王昌龄	甘泉歌		0		
秋山匹练净，寒谷万珠明。	白元鉴	瀑布		0		
萦云犹类网，避月尚疑弓。	李体仁	飞鸿响远音		0		
平生忆念消磨尽，昨夜因何入梦来。	白居易	梦旧		0		
诚知两轴非珠玉，深愧三缣恤旅途。	平曾	留别薛仆射		0		
湛然玉匣中，秋水澄不流。	白居易	李都尉古剑		0		
腹内旧钩苔染涩，腮中新饵藻和香。	皮日休	奉和鲁望谢惠巨鱼之半		0		
君作出山云，我为入笼鹤。	白居易	寄王质夫		0		
忽疑行暮雨，何事入朝霞。	杜甫	花底		0		
迥分辽海气，闲蹋洛阳尘。	元稹	刘颇诗		0		
抢烟寒嶱𡾲，披茑静䙰褷。	皮日休	虎丘寺殿前有古杉一本形状丑怪图之不尽况百卉竞媚若妒若媢娼唯此杉死抱奇节髐然闯然不知雨露之可生也风霜之可瘁也乃造化者方外之材乎遂赋三百言以见志		0		
媚于天子，观为国光。	宋申锡	义成军节度郑滑颍等州观察处置等使金紫光禄大夫检校司徒使持节滑州诸军事兼滑州刺史御史大夫上柱国陇西县开国公食邑一千八百户李公德政碑铭		0		
渠帅已死，破棺折元。	李华	其七 皇甫义真		0		
秦女树前花正发，北风吹落满城秋。	李频	闻金吾妓唱梁州		0		
女娲鍊石补天处，石破天惊逗秋雨。	李贺	李凭箜篌引		0		
凉风度秋海，吹我乡思飞。	李白	秋夕旅怀		0		
破邪能自外，坚固喻金刚。	司马承祯	太上升玄消灾护命妙经颂		0		
少华与首阳，隔河势争雄。	岑参	送祈乐归河东		0		
都人听哀挽，泪尽望寒原。	羊士谔	梁国惠康公主挽歌词二首 其二		0		
水至亦不去，熊来尚可当。	李白	杂曲歌辞 秦女卷衣		0		
人生有情感，遇物牵所思。	白居易	庭槐		0		
自从寻觅善根由，万事总虚休。	敦煌曲子	其七 真悟八首		0		
