allusion	variation_list
鲈鱼（张翰）	['人生适意', '人生贵适意', '为鲈鱼', '鲈鱼脍', '忆鲈鱼', '季鹰归', '鲈香', '莼羹鲈脍', '知机早', '鲈鱼正美', '张翰思归', '脍鲈', '秋风归去', '张翰归', '季鹰舟', '季鹰船', '秋风鲈鲙', '秋风张翰', '吴中菰菜', '季鹰鱼', '张翰鲙', '鲈鱼', '羡季鹰', '莼鱼', '江东鲙', '恋鲈鱼', '菰菜鲈鱼', '思菰米', '步兵鲈', '步兵兴', '负鲈鱼', '季鹰高致', '季鹰归思', '季鹰鲈鲙', '江鲙美', '为莼', '忆鲙', '莼菜', '东归不为鲈', '故乡鲈鲙', '官许季鹰抛', '还吴张', '季鹰高兴', '江鲈有约', '鲙美菰香', '鲈鱼风起', '鲈鱼为后期', '秋风忆故乡', '思归张翰', '忆脍', '因鲈鱼', '张翰辞东府', '张翰浮誇', '张翰命驾', '张翰忆江东', '张翰知机', '张季思鲈', '张掾秋风', '扁舟为鲈鱼', '菜羹', '莼鲈', '故乡鱼美', '季鹰', '季鹰在洛', '鲈脍', '鲈乡', '鲈鱼堪鲙', '思归待秋风', '思鲈', '西风动我归', '西风归计', '西风忆鲈鱼', '张翰', '张翰悲秋', '张翰知终']
三径（求仲，羊仲，蒋诩）	['开三径', '羊求', '三径', '开竹径', '求仲', '蒋诩径', '蒋生径', '羊仲', '求羊径', '求羊踪', '三径诩', '蒋生难再逢', '蒋诩三径', '开径', '三路', '避地蒋生', '二仲', '径开高士', '求羊']
卞和	['荆玉', '和璧', '和氏璧', '荆山玉', '楚璞', '献璞', '荆璧', '卞璞', '三刖', '卞和泣', '完璞', '三献玉', '荆和', '卞和玉', '献楚', '卞和三献', '卞和刖', '和氏玉', '荆山璆', '玉三献', '荆宝', '和氏泪', '痛玉', '荆璞', '泣玉', '卞和耻', '卞泣', '楚山玉', '楚王珍', '刖足', '抱玉泪', '悲玉石', '和氏愆', '三献荆山', '白璧三年泪', '白璧疑冤楚', '抱石疑非', '抱玉卞和', '璧悲三献', '卞玉', '卞子抱玉', '楚家玉', '楚人随玉', '楚山迷璧', '楚山囚玉', '和氏宝', '荆人', '荆山待价', '泣楚玉', '泣血人', '洒泪成血', '三献', '三献三刖', '为玉泣', '误卞和', '献玉', '献玉和', '再献甘灭趾', '證玉臣', '足刖已过三', '白璧冤楚', '谤玉', '抱璞', '抱玉', '卞和', '卞和不斲', '卞和胫', '卞山璞', '卞疑', '楚璧', '楚卞', '和氏三献', '和氏献玉', '和玉', '怀玉', '荆人美璞', '良璞悲', '献玉招刑', '刖人哭', '贼奇璞']
令威（丁令威）	['丁令威', '辽东鹤', '华表鹤', '冢累累', '千年鹤', '鹤归华表', '城郭人民', '华表柱', '华表鹤归', '千岁鹤', '辽海鹤', '华表归来', '千年华表', '白鹤归', '华表千年', '辽鹤归来', '白鹤归来', '鹤表', '千年别', '辽天鹤', '辽城鹤', '归辽海', '辽东华表', '鹤归辽海', '千年化鹤', '老令威', '侣鹤', '归飞鹤', '华表语', '城郭新', '丁鹤', '鹤鸣华表', '鹤姓丁', '骑鹤归来', '重来华表', '化鹤丁', '辽东丁', '故旧非', '令威还', '人事都非', '身化鹤', '丁家鹤', '千载归来', '临华表', '千年归鹤', '城郭人非', '丁仙化鹤', '故园华表', '华表恨', '华表留言', '辽水千年', '辽天归鹤', '千载鹤归', '仙人化鹤', '白鹤报乡人', '别后华表', '城是人非', '大鸟来华表', '孤鹤归期', '归郭令威', '归鹤怜', '归后语', '鹤到辽东', '鹤归城是', '鹤化千载', '鹤语冢难寻', '华表歌', '华表旧愁', '华表真人', '老仙鹤驭', '辽鹤', '令威归叹', '令威语', '山川城郭是耶非', '姓丁鹤', '依华表', '城郭空存', '丁令', '飞来丁令', '孤鹤归来过辽天', '归鹤', '归家华表', '鹤飞辽天', '鹤归', '鹤归故里', '鹤去知归', '化鹤', '跨鹤', '辽海愁云', '令威', '千年一回归', '山川如故人民非', '思归辽东', '西归千年后', '乡关华表']
双剑（干将，张华，莫邪，雷焕）	['射斗牛', '丰城剑', '双龙剑', '射牛斗', '斗牛光', '埋剑', '张雷', '冲星剑', '延平剑', '干牛斗', '龙光牛斗', '望牛斗', '牛斗之气', '星剑', '延津剑', '宝剑出', '斗间紫气', '两剑', '两龙剑', '丰城气', '牛斗气', '丰城双剑', '丰剑', '剑合延津', '丰狱剑', '星辰剑', '丰城龙剑', '雷剑', '匣中孤剑', '斗牛光焰', '雷焕张华', '冲斗剑', '延平双剑', '冲天剑', '剑合双龙', '剑跃双龙', '金剑沉埋', '雷氏剑', '张公龙剑', '报张华', '别剑', '剑虹浮', '剑埋丰城', '蛟龙子', '龙剑合延津', '南斗龙光', '神光上斗牛', '宝剑沉埋', '宝剑冲牛斗', '碧潭双剑', '斗冲剑气', '斗气埋长剑', '酆狱气', '剑化', '剑津宝气', '剑埋狱底', '雷焕掘剑', '雷令剑龙', '龙归剑杳', '龙渊触牛斗', '牛斗变化', '牛斗空', '牛斗龙泉气', '射斗光芒', '神龙双剑', '双剑', '双龙', '为龙信息', '匣龙双起', '星辰占宝剑', '星斗见光气', '延津龙去', '腰间剑去', '张雷识剑', '紫气飞空', '紫气干星', '宝剑丰城寒', '冲斗', '丰城陆沉', '丰城埋没', '丰狱埋剑', '干将冲牛射斗', '合剑龙津', '化龙', '剑龙辞延津', '剑埋龙壤', '剑气', '剑气射天', '剑水二龙', '剑闲夜冲星', '掘预藏剑', '掘狱张雷', '龙剑', '龙泉动牛斗', '牛斗紫气', '神光埋泉壤', '神剑跃平津', '神物化延平', '双飞归延津', '双剑埋狱', '双龙斗牛气', '匣剑同处', '延平', '一旦为龙', '张雷辨气', '紫气辨斗牛', '紫气剑一双']
磻溪（吕尚，周文王）	['磻溪', '渭曲', '钓鱼人', '磻溪钓', '磻溪叟', '钓筑', '渭滨叟', '钓国', '钓磻溪', '吕叟', '猎渭', '得熊罴', '渭钓', '渭川叟', '钓璜', '渭水垂纶', '渭水钓', '钓玉', '渭川老', '渭川垂钓', '渭川图', '太公垂钓', '渭川人', '朝歌屠叟', '君王猎渭滨', '起钓屠', '水滨老', '渭川熊', '渭川遗老', '渭阳人', '朝歌鼓刀叟', '垂钓', '垂渭水纶', '钓人不钓鱼', '钓叟值周王', '钓渭', '钓翁王者师', '钓周', '经纶钓', '吕钓', '吕公荣达', '梦渭滨', '磻石垂钩', '磻溪入钓', '磻溪未遇', '太傅翊周', '太公屠钓', '屠钓', '渭滨器', '渭川遇主', '渭上钓人', '渭上叟', '溪磻', '熊罴', '垂纶渭川', '猎卜非熊', '吕叟钓', '磻溪独钓', '莘渭擅耕鱼', '太公遇文猎', '屠饭', '渭滨', '渭川', '熊虎周郊卜', '鱼钓终渭川']
乘兴（戴逵，王徽之）	['山阴道', '山阴雪', '山阴兴', '剡溪船', '扁舟乘兴', '剡溪舟', '子猷船', '子猷访戴', '山阴访戴', '访戴舟', '剡溪兴', '忆山阴', '剡溪雪', '雪夜访', '寻安道', '剡曲船', '剡溪棹', '山阴舟', '见安道', '访安道', '山阴船', '山阴夜雪', '剡溪乘兴', '山阴访', '乘兴棹', '剡溪游', '回舟兴', '山阴月', '向剡溪', '访戴', '山阴雪夜船', '剡棹', '阻扁舟', '扁舟雪夜', '乘兴', '寻戴', '忆戴', '乘兴船', '剡溪风雪', '思安道', '子猷狂', '子猷清兴', '山阴回棹', '雪中棹', '何必见安道', '剡溪寻', '问安道', '忆戴船', '乘兴王猷', '剡川游', '雪下船', '扁舟兴尽归', '访雪舟', '觅戴逵', '剡舟夜雪', '兴尽归舟', '兴尽回酒船', '一棹剡溪', '泛山阴月', '泛舟思戴', '徽之问寂寥', '徽之棹', '回船剡溪', '回舟尽兴', '山阴道回', '山阴一叶舟', '剡中情味', '剡中舟', '王寻戴', '王猷船过剡溪', '王子雪舟', '兴比乘舟访', '兴尽', '雪溪小棹', '寻戴客', '寻访剡溪人', '越水泛舟', '短棹乘兴', '返棹', '回雪访', '山阴归船', '山阴溪船', '雪访相访', '雪舟访', '叶棹相寻', '子猷访', '子猷棹船回']
骢马（桓典）	['御史骢', '避骢', '避马', '骢马', '铁骢', '桓典马', '乘骢', '花骢']
五马	['五马']
大鹏（庄子）	['垂天翼', '鳞翼', '负青天', '九万鹏', '鸠居', '九万扶摇', '北溟鱼', '九万风', '凌风翔', '抟鹏', '北溟鲲', '羊角风', '鲲化', '南鹏', '鲲海', '海鹏', '鲲鹏变化', '鹏鲲', '万里鹏程', '鹏程万里', '鹏翅', '垂天鹏', '大鹏飞', '图南翼', '九万抟', '风鹏', '九霄鹏', '溟鹏', '扶摇力', '抟风翼', '化鲲', '鲲化鹏', '水击三千里', '三千击浪', '天池鹏', '九万抟风', '鲲鹏化', '鹍化', '鹏化', '摩天翼', '鲲鹏万里', '天池翼', '青冥姿', '变化鲲鹏', '垂天鹏翼', '大鹏击水', '击水三千里', '鸠鹏', '九鲲', '鲲鹏游', '凌云翅', '鹏抟', '大鹏', '九万鹏风', '蹑扶摇', '适南海', '天南翼', '图南', '图南羽翮', '抟扶', '抟溟', '北溟翼', '蔽天鹏', '冲天鹏翅', '反溟极', '奋北溟', '化北鱼', '鲸鹏游', '鸠鹏自乐', '九万欲抟空', '九万云霄路', '鲲移鹏徙', '鹍鹏', '溟翼', '溟鱼一息化天津', '南溟风浪', '南图', '喷浪溟鲲', '鹏北海', '如云长翮', '腾鲲', '抟垂翼', '抟风', '抟风起北溟', '北极羁羽', '垂天', '海鸟远天地', '海远到天池', '化鹏', '击浪天地', '九万风鹏', '鲲鱼化鹏', '南溟', '南溟垂翼', '鹏背', '鹏飞', '鹏海', '鹏举', '鹏兴', '鹏翼', '鹏远天池', '云鹏', '著鲲', '壮志南溟']
相如（司马相如）	['马相如', '相如', '昔马', '马卿', '长卿']
采薇（伯夷，叔齐）	['夷齐', '故山薇', '首阳薇', '北山薇', '夷叔', '采薇蕨', '采薇歌', '食薇', '夷齐饿', '西山老', '西山饿', '西山薇蕨', '首阳饿', '首阳人', '采薇', '饿首阳', '夷齐采薇', '夷齐饿首阳', '饿死西山', '首阳二子', '采薇翁', '薇堪采', '问首阳', '采薇士', '耻周粟', '食周薇', '笑首阳', '不事周', '采蕨', '西山羞', '西山遗老', '伯夷食菜', '不甘臣武', '采蕨为粮', '孤竹饿', '叩马西山', '首阳魂', '薇老首阳', '西山食粟', '伯夷', '孤竹', '蕨薇', '首阳', '双麋不返', '周粟不顾']
子晋（王子乔）	['王子乔', '王子晋', '吹玉笙', '子晋笙', '缑山鹤', '灵鹤', '子晋吹笙', '缑岭鹤', '缑笙', '王子吹笙', '周太子', '举手谢时人', '周王子', '王乔鹤', '吹笙去', '缑岭云', '缑山仙子', '跨鹤吹笙', '灵王子', '缑氏鹤', '吹笙骑鹤', '吹笙跨鹤', '缑山', '缑山骑鹤', '洛滨笙', '子乔笙', '吹笙仙子', '登缑岭', '缑山王郎子', '伊笙', '乘鹤', '乘鹤缑山', '吹笙', '吹笙遥谢手', '凤吹去', '缑岭笙歌', '缑山风月', '鹤禁', '骑鹤', '骑鹤峰', '去鹤留笙', '山头白鹤候我', '笙箫缑岭人', '使鹤催', '王子驾', '维岭', '西归公子', '谢路人', '子乔', '子乔笙鹤', '冲天', '吹笙北崖', '凤吹', '凤笙', '鹤驾', '鹤驭', '跨鹤', '笙鹤', '王乔', '维氏鹤', '舞鹤', '西岭吹笙', '谢时', '玉笙断', '子晋']
长沙谪（贾谊）	['贾长沙', '长沙傅', '长沙客', '长沙谪', '长沙才子', '贾生谪', '贾谊贬', '贾生流落', '贾生流寓', '贾生憔悴', '长沙宦', '贾生困长沙', '贾生三年', '绛灌谗陷', '长沙愁', '长沙容']
凤池（荀勖）	['凤凰池', '凤池', '池上凤', '荀池', '凤沼', '丹凤池', '凤皇池']
山简	['山太守', '白接䍦', '山公醉', '山翁醉', '接䍦倒', '倒著接䍦', '葛强', '山公倒载', '举鞭问', '山翁倒载', '山公兴', '倒载', '巾倒戴', '酩酊', '山公饮', '醉倒山公', '接䍦倾倒', '山公上马', '山公行处', '山公游赏', '山简', '山公延宾客', '山公坐池', '笑马上葛僵', '笑问并州儿葛']
乘槎	['八月槎', '乘槎客', '海上槎', '泛灵槎', '犯斗牛', '犯斗槎', '上汉槎', '秋槎', '乘槎', '到斗牛', '八月灵槎', '沧海使', '饮牛津', '斗边槎', '牵牛渡', '海槎', '八月查', '查上', '槎客', '犯牛仙', '泛槎', '浮槎', '客槎来去', '灵槎', '识天河', '蜀客', '问津牛浦', '仙查', '仙槎', '仙石逐槎回', '星槎', '犯宿槎', '海客', '津接斗牛', '客槎', '客星泛仙槎', '灵查']
湘妃（唐尧，女英，娥皇，舜，虞舜）	['湘夫人', '皇英', '湘魂', '娥皇', '湘妃泪', '湘妃怨', '尧女', '苍梧泪', '泪竹', '思帝子', '帝妃', '泣竹', '湘泪', '苍梧恨', '竹上泪', '湘妃泣', '啼斑竹', '哭苍梧', '啼湘', '湘娥竹', '二妃愁', '哭重华', '舜娥悲', '湘妃', '湘灵', '湘女恨', '湘娥', '湘妃血', '湘篁染泪', '湘君', '湘竹痕', '斑竹染啼血', '楚妃泪竹', '帝子痕', '娥英泣', '二女事唐虞', '粉篁春泪', '恨竹泪', '江娥啼竹', '染竹啼', '舜妃悲', '湘妃旧竹', '湘皇泪雨', '湘水泪', '玉立湘皋', '怨泪连疏竹', '竹上斓斑', '斑竹', '帝子', '二妃', '二女垂泪', '妃泣竹', '九疑泪竹', '哭翠华', '女悲', '女英', '染筠', '舜妃啼竹', '啼舜妇', '湘川别泪', '湘川恨', '湘筠', '英皇']
老莱（老莱子）	['老莱衣', '斑衣舞', '莱彩', '莱子衣', '舞斑衣', '舞莱衣', '舞衣斑', '戏莱衣', '老莱戏', '老莱心', '斑斓戏', '老莱服', '斑衣儿啼', '彩衣斑', '侍彩', '五采衣', '莱衣戏舞', '稚子斑', '斑衣', '斑衣侍', '莱子彩', '彩服', '弄乌莱子', '五彩服', '戏莱', '戏衣莱', '衣同莱子', '彩眼', '彩衣', '彩衣娱亲', '服彩老莱', '莱衣', '莱子', '莱子戏庭', '老莱', '老莱戏彩', '戏彩']
谢公（谢安）	['谢安石', '谢太傅', '谢公', '东山太傅', '谢傅', '安石', '谢安']
五柳（陶潜）	['五柳先生', '门前五柳', '先生柳', '陶令门', '五株柳', '陶潜柳', '五柳陶', '陶门', '五杨柳', '渊明柳', '陶家柳', '归来柳', '柳飞彭泽雪', '柳觅先生', '陶令株', '陶庐树', '陶宅五株', '元亮柳', '筑室种柳', '靖节门柳', '柳暗陶门公', '陶凿五柳', '五柳']
贾谊	['洛阳年少', '洛阳才', '洛阳才子', '洛阳少年', '洛阳子', '贾傅', '贾生', '贾谊']
解榻（周璆，徐稚，陈蕃）	['陈蕃榻', '拂榻', '徐孺榻', '设榻', '置榻', '陈榻', '徐榻', '徐稚榻', '登榻', '故榻', '榻尘', '高人榻', '挂榻', '一榻高悬', '留宾榻', '榻空悬', '下尘榻', '陈蕃悬榻', '解榻', '悬榻', '陈蕃解榻', '陈公榻', '高悬一榻', '挂尘榻', '稚榻', '陈蕃礼高士', '陈蕃怜', '旧榻悬尘', '郡斋榻', '扫榻', '榻留徐稚', '榻正悬', '下榻', '下榻见贤', '下榻荣', '一榻陈蕃', '优贤榻', '仲举思', '延榻', '一榻容孺子', '一榻依陈', '招徐稚', '至两榻']
双鱼	['尺素书', '烹鲤', '鱼封', '素鲤', '双鱼', '鱼传尺素', '寄鳞', '双鲤', '鱼尺', '二鲤鱼', '锦鳞书', '尺素', '鲤鱼', '传书', '烹鱼', '鱼书', '鳞鸿', '素书', '鱼雁']
盐梅（傅说，殷高宗）	['调味', '盐梅', '傅说羹', '和羹梅', '调鼎', '和羹', '调梅', '和鼎', '梅子荐盐', '商鼎', '调羹', '商岩调羹']
颜子（孔子，颜回）	['颜巷', '箪瓢陋巷', '一瓢饮', '在陋巷', '三十二居陋巷', '乐箪瓢', '一瓢颜', '贤哉回也', '颜子', '食一箪', '一瓢陋巷', '箪瓢人', '颜巷陋', '回也贤', '颜巷乐', '箪瓢', '乐一瓢', '一箪瓢', '箪瓢颜子', '颜渊陋巷', '一瓢自乐', '鲁瓢', '贤哉巷', '辛苦学颜回', '隐居颜氏', '箪食', '学颜', '颜回', '颜生', '颜渊']
支公（支道林）	['支道林', '道林', '林公', '支公', '支遁']
绝弦（伯牙，钟子期）	['高山流水', '伯牙琴', '伯牙弦', '流水曲', '牙弦', '弄琴牙', '流水琴', '山水调', '钟期耳', '绝弦', '子期知音', '罢琴', '朱弦断', '弦断', '弦琴肯重闻', '钟殁师废琴', '山水在琴', '弦绝', '钟期辨']
甘棠（召公姬奭）	['召棠', '憩棠', '召伯棠', '思召伯', '甘棠遗爱', '棠郊', '召公棠', '爱棠', '棠芾', '甘棠颂', '讼棠', '甘棠', '蔽芾棠阴', '召南棠', '棠树', '棠阴', '遗棠', '甘棠不剪', '忆甘棠', '邵伯棠', '棠茂', '棠树政', '棠遗善政', '甘棠少讼', '南山遗爱', '棠户', '棠郊成政', '棠颂', '棠叶', '棠影', '忆召公', '故国裁棠', '劭伯树', '邵伯', '棠花', '棠树遗爱', '遗爱召伯', '召伯遗泽']
竹林期（刘伶，向秀，子咸，山涛，嵇康，王咸，王戎，阮咸，阮籍）	['竹林七贤', '竹林游', '林下客', '竹林贤', '竹林人', '竹林期', '阮嵇', '竹林会', '咸籍', '竹林狂', '山阳会', '竹林欢', '竹林嵇阮', '竹林七子', '林中酒', '七子风', '中散地', '林间饮酒', '七人班', '阮生集', '结社竹林诗老', '晋贤醉', '阮嵇辈', '山阳宴', '竹林社友', '竹林胜侣', '晋时竹', '七贤', '山阳旧侣', '竹林伴侣', '竹林浇', '竹林晋阮']
白鸥（列子）	['白鸥盟', '忘机鸥', '不惊鸥', '海上鸥', '鸥鹭盟', '白鸥波', '盟鸥鹭', '驯鸥', '白鸥亲', '狎鸟', '狎鸥鸟', '鹭鸥盟', '波上鸥', '随白鸥', '沙边鸥鹭', '鸥鸟忘机', '旧鸥', '鸥相狎', '逐轻鸥', '鸥浩荡', '海翁机', '鸥鸟伴', '同盟鸥鹭', '盟在白鸥', '狎鸥', '白鸥', '白鸥猜', '海鸥', '鸥鸟情', '海边鸥鸟', '海鸟忘机', '忘情鱼鸟', '鱼鸟忘情', '海上狎鸥', '海鸟作朋俦', '海上逢鸥', '机忘鸟不猜', '鸥惊耻海滨', '鸥鸟相猜', '鸥鸟相亲', '无机鸥不惊', '相忘鸥鸟', '海鸥高翔', '海鸥相疑', '黄鲁直笛弄', '机息海滨', '惊鸥', '旧鸥能记', '盟鸥', '鸥可亲', '鸥盟', '鸥梦', '鸥鸟莫猜', '沙鸥盟寒', '问讯白殴']
麟阁（丙吉，刘德，刘洵，张安世，杜延年，梁丘贺，萧望之，苏武，赵充国，霍光，韩增，魏相）	['麒麟阁', '画麒麟', '麒麟画', '麒麟殿', '麟阁丹青', '麒麟图画', '麟阁功名', '麟阁勋', '麟阁图形', '图麒麟', '麟阁', '汉家麟阁', '麒麟功', '麟阁像', '冠麒麟', '麒麟台', '麟阁标名', '麒阁', '仪形当汉阁', '高阁图画', '画像仙阁', '麟阁画像', '麒台', '壮麟阁']
壶中（壶公）	['一壶天', '仙壶', '壶中天地', '壶中', '壶中闲日', '一壶', '壶公', '壶中仙客', '玉壶先生', '壶天风月', '仙家碧玉壶', '玉壶观世', '壶里', '壶天不老', '壶天谪', '壶中化国', '壶中永日', '入壶', '玉壶贮天地', '壶天']
绣衣	['绣服', '绣衣']
